platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,ABSOLVER,75,6,41,94 Ratings,"['Role-Playing', 'Action RPG']",Sloclap,29-Aug-17
pc,STARS IN SHADOW,75,8.3,9,23 Ratings,"['Strategy', 'Turn-Based', 'General', '4X']",Ashdar Games,19-Jan-17
pc,RUINER,75,7.6,41,190 Ratings,"['Action', 'General']",Reikon Games,26-Sep-17
pc,GET EVEN,75,7.6,31,110 Ratings,"['Modern', 'Action', 'Shooter', 'First-Person', 'Arcade']",The Farm 51,20-Jun-17
pc,ATTENTAT 1942,75,7.5,13,8 Ratings,"['Adventure', 'General', 'Visual Novel']",Charles University,31-Oct-17
pc,THE ESCAPISTS 2,75,7.5,12,63 Ratings,"['Action', 'General']",Mouldy Toof Studios,21-Aug-17
pc,ODE,75,6.7,19,10 Ratings,"['Adventure', '3D', 'Third-Person']",Ubisoft Reflections,27-Nov-17
pc,DUNGEONS 3,75,7.7,17,75 Ratings,"['Strategy', 'General']",Realmforge Studios,13-Oct-17
pc,BOMBER CREW,75,7.5,8,32 Ratings,"['Simulation', 'Flight', 'Combat']",Runner Duck,19-Oct-17
pc,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 3: HELL IS EMPTY,75,6.3,11,65 Ratings,"['Action Adventure', 'General']",Deck Nine Games,20-Dec-17
pc,SUNDERED,74,7.5,39,59 Ratings,"['Action Adventure', 'General']",Thunder Lotus Games,28-Jul-17
pc,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 3: ABOVE THE LAW,74,6.6,31,67 Ratings,"['Adventure', 'Point-and-Click']",Telltale Games,28-Mar-17
pc,ALONE WITH YOU,74,5.3,13,7 Ratings,"['Adventure', 'General']",Benjamin Rivers,9-Feb-17
pc,EXPEDITIONS: VIKING,74,8,33,119 Ratings,"['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'Tactics']",Logic Artists,27-Apr-17
pc,MAGES OF MYSTRALIA,74,8.5,21,26 Ratings,"['Action Adventure', 'General', 'Linear']",Borealys Games,18-May-17
pc,MILKMAID OF THE MILKY WAY,74,7,9,7 Ratings,"['Adventure', 'Point-and-Click']",machineboy,4-Jan-17
pc,THE WALKING DEAD: THE TELLTALE SERIES - A NEW FRONTIER EPISODE 5: FROM THE GALLOWS,74,6.5,27,65 Ratings,"['Adventure', 'Point-and-Click']",Telltale Games,30-May-17
pc,ORIENTAL EMPIRES,74,7.9,16,24 Ratings,"['Strategy', 'Turn-Based', '4X']",Shining Pixel Studios,14-Sep-17
